0 Inch Distance Reading Experiment

            EPC                        Meta Data
------------------------   ------------------------
------------------------   123456789000000000000000
201602260000000000000271   ^00,0,0
201602260000000000000271   123456789000000000000000
------------------------   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
------------------------   ------------------------
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
------------------------   ------------------------
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
------------------------   ------------------------
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   ------------------------
201602260000000000000271   123456789000000000000000
201602260000000000000271   ------------------------

Success: 89  EPC Fail: 2  Data Fail: 5  EPC/Data Fail: 4  Success Rate: 89 %
