10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
10	6	1	2	3	60
